2792;-4286;-5816;4072;-4042;8869;6694;-1692;6825;2968;-7427;8087;8609;-4912;-7146;5688;-8712;-3176;1243;-4195
3368;-193;3036;7299;-7963;5271;-5581;1859;-5534;-542;1963;4629;-6489;7804;3799;-4788;-5517;-2011;8128;5416
-5877;756;-8791;-8476;2329;-495;-6771;-1773;5197;-1491;-5424;7961;-5236;-4874;-1061;-1670;-4621;-40;4324;-5203
-104;-6729;1414;844;9869;-7914;-3229;7320;-5968;7270;-414;1049;8375;1272;-4322;-2567;6617;-7471;5202;5593
-7870;-6110;1143;8227;9508;-2414;-8701;4817;2356;-76;-7572;5255;-2976;-3974;7336;-823;8825;5113;173;-3859
4798;-4505;-2139;7506;4651;-9027;-5539;7416;3144;-6278;8628;-7010;-5528;-937;-8695;-8428;8672;245;3212;-6863
-2193;1881;-2199;6053;-7112;-5562;-8239;6568;-1719;2327;-4377;6623;6188;7521;-5371;-9989;7653;9415;-3611;-3601
-8168;-197;9179;-2221;-2248;3397;-7005;-8986;-8613;-9717;-4893;-5476;-9343;5742;5190;-8884;-3020;-4929;2347;-6688
-9163;3454;6306;5616;8715;6956;5842;7506;2317;-3688;8297;9282;-3037;-3676;-2782;-4878;2654;8379;1270;-2223
3468;-7837;-3151;1992;9437;458;9353;-5103;-7542;9447;4032;9608;-1705;-3863;5065;-5079;7666;-9621;-2304;5031
705;-7704;-3327;8494;-7493;-7816;8254;-6576;2043;-4542;2159;4170;4523;146;1427;5282;-8766;3539;-9871;-271
757;-492;-6654;-8691;-247;5357;-2483;-1510;-1643;4441;-4423;3299;7765;-9812;8970;-8194;6678;8558;1421;-9446
-2096;-2250;-901;-5726;-3457;7651;5785;-5541;5560;2411;-3322;6188;3170;-5609;2495;2591;8367;-6181;7481;-3543
-3734;-4998;-8179;-303;-4845;7397;-2402;-5064;-6045;-6469;1;6049;9744;-7127;4041;4212;-162;8422;5434;-205
-6380;633;830;-5629;4933;3824;1155;-7018;-3254;-4960;474;-770;-7108;864;7120;-9173;-4786;-8975;-183;2203
-87;1356;9222;-6215;5146;1885;8629;-7065;8552;-7276;-2551;4854;-5126;-2562;-6702;1924;-9001;6057;-3837;6998
5640;-2459;-5938;-148;6686;-1964;-732;4673;157;-5496;-4513;540;-4816;6717;-3730;-889;-5847;-6700;-2106;-5635
-4301;8101;7446;9933;-8868;917;-4528;6575;1170;-1172;-873;9648;9415;-6597;4060;-4022;-2304;2097;5599;-4917
-9383;4929;7418;7755;5304;-8349;3566;-5485;-1414;7548;-4286;-3208;-863;-6023;9983;8236;5768;1173;5767;9865
6618;4169;-5233;-7388;363;1777;6257;-2859;548;-2199;-5589;-1374;8970;-3548;6409;6417;8114;540;6472;3382
5817;-6452;4656;-4695;-279;6111;-6983;9025;9551;4179;-1635;-3147;4300;-2711;-5575;-1652;-1224;8158;5958;-1584
6738;7861;-2318;-3850;2423;7952;777;-9064;-6441;-6341;-6354;4393;-3440;-8188;6969;-9990;1444;-5486;8825;-7084
-3333;745;7733;8597;1106;-3982;8671;2894;-8956;-9957;-8237;7255;7281;-6986;7410;3167;5886;-7253;5258;-8466
8247;8886;-2302;-3416;-3260;3743;-6198;-8418;-1823;7553;4412;-2691;6626;-3294;1898;-7403;5560;6852;4457;-2677
-9658;7141;-7897;-7070;-2973;-7872;-6156;9016;5665;-2845;-4427;5025;7245;4033;9894;-5749;-5395;2774;-9358;-9482
5103;4158;-4091;4728;5354;7284;-7278;-5407;-5014;8530;-7924;-5755;503;-9376;-4472;5999;-2920;-8231;-7898;6696
6199;-3440;2362;-299;2150;7387;-9468;6282;-5112;4447;7735;-1466;2218;-1693;-5537;8401;-3565;-1870;612;794
-3023;3976;-3487;-8292;-9618;-5797;4236;-9049;5021;-358;1222;-1647;6501;8437;-8777;8162;3012;3647;5516;-2327
-4499;1317;8590;-4998;-5024;9740;-6531;-9909;-5278;-3118;-4285;-1717;6067;9630;-3992;-2128;-5065;-9485;9700;902
-3060;3493;-939;-1744;-9395;4489;-2794;4880;9111;6808;-532;-436;-6285;5191;4226;-7431;3539;2218;8262;2467
5643;666;-7517;9982;449;-589;-8346;7241;-3090;6964;-8198;-6783;2203;3062;-2688;4431;7045;8627;-1391;-74
-5580;-278;-88;-168;-1768;-7863;8898;452;-4242;-3989;-4264;-4280;-5921;-4506;8593;-172;-7755;3420;-2139;-8439
750;5533;4922;-6311;6397;5172;-1407;3486;-1180;-3810;5110;-2079;5900;134;3052;1267;7197;-7629;-9686;-905
-17;9182;5956;-6313;-8143;-8477;7562;362;6633;6908;-4522;4998;-2020;-6761;-6544;-8936;3388;-2976;-1917;8050
3794;386;8430;-5521;-8720;8669;3133;-8912;-5360;7754;-1188;-1294;-8580;-1350;7732;2266;-3510;8159;7187;-9042
-5985;617;-3850;-7657;2629;7679;5828;-6697;-8748;1627;224;59;-5458;-130;-2676;5805;1974;4062;1169;-6524
-8274;8392;-7026;-1221;668;-9009;-3958;-3339;5562;7271;6046;36;8900;-6551;-9102;-1825;-3293;4091;4716;-2597
-9388;6343;3796;-5143;-2582;-2026;-5468;-4523;-2974;-9429;-9428;-685;-79;-491;536;-7541;9832;-5828;3861;-3846
-577;6374;5061;5616;1993;-6818;8948;161;2032;-8733;-4764;-9295;8886;344;9874;2593;-4001;4230;6954;8964
-5299;2595;5524;-9767;9074;-6276;-1639;8335;-1748;8036;-4307;9202;-5849;-3435;-5623;-6453;4866;-656;1582;-4535
1933;314;4277;-2596;2666;-8526;5739;-7099;5097;-3212;-9627;798;-8564;2736;-4043;-9441;-2573;-7617;1085;9165
-4615;735;-9485;-4175;-4971;8546;5738;8103;-963;4970;1720;4235;2958;-6158;4774;-3593;-361;-5600;9172;8931
8849;-446;7074;-6031;-7166;9943;-414;5964;5549;-7031;4660;8507;-6573;-3254;-7787;7116;-7622;6615;3090;-3086
6578;4045;-8673;873;7064;-6890;9171;132;1889;9434;-1118;94;-2292;8437;8915;4820;4164;-1330;-2655;-3052
-4437;-5455;-1570;-3439;4923;-7957;2735;3853;-4668;5142;-2720;1487;-7280;-7265;-634;-3348;2221;-2327;-9532;-8213
-2413;689;-7413;8786;147;-8874;-6747;-7915;6251;9826;1488;9146;-7216;-8189;-7167;-2991;2319;-3649;-6041;9782
6271;4213;-4309;7087;5907;-4527;1388;-1003;2476;4035;508;-2241;49;5350;-7303;1614;-718;-563;-403;8766
1773;8806;-3653;5466;-8411;9426;3055;6463;2639;7068;6955;388;-9348;-1336;-8219;901;6429;-5239;-3838;7951
4634;9977;-7770;-110;-9799;-2005;1758;-9572;8199;5309;2451;6764;-3034;-9448;8868;8100;1866;8946;-3474;-218
-2230;-5819;-1744;1568;-6510;-7337;-61;9651;4927;-5453;7637;4844;1963;-7455;-2459;-1056;-6522;-6684;-5312;-5327
